status	record_kind	artifact_id	size_bytes	expected_sha256	actual_sha256	path
MATCH	artifact	strict_linkage_ready	5591	1c95ed3c6509e9477b2ab38dc380d16e8072e0ba0ce8e17f82842dee7a0dd2ee	1c95ed3c6509e9477b2ab38dc380d16e8072e0ba0ce8e17f82842dee7a0dd2ee	/big7_disk/liaoyoyo2001/InterSubMod/research/20260723_production_exact_ps_strict_read_linkage/20260723_exactPS嚴格ReadLinkage全資料集報告_01/READY.json
MATCH	artifact	all7_cohort_receipt	6282	384ee7180ce857f0ee0e82d17424b1b19d99c15a0d2220126da72c1ba8c79087	384ee7180ce857f0ee0e82d17424b1b19d99c15a0d2220126da72c1ba8c79087	/big7_disk/liaoyoyo2001/big7_disk_output/synthesis/research_rounds/20260724_exact_ps_cpp_topology_af_all_samples/all7_strict_guard1000_v1/cohort_receipt.json
MATCH	artifact	all7_summary	36992	d2edca043564f9da4a5372dc70542b89024040a9b41a6290ccf938d262b46bcd	d2edca043564f9da4a5372dc70542b89024040a9b41a6290ccf938d262b46bcd	/big7_disk/liaoyoyo2001/big7_disk_output/synthesis/research_rounds/20260724_exact_ps_cpp_topology_af_all_samples/all7_strict_guard1000_v1/summary/all7_summary.json
MATCH	artifact	all7_cpp_reader_report	10361	c5ae3aa7b57495cca504f6009fdc18d0b249327bd2d2cecbb1fcfd23e8c6737b	c5ae3aa7b57495cca504f6009fdc18d0b249327bd2d2cecbb1fcfd23e8c6737b	/big7_disk/liaoyoyo2001/InterSubMod/research/20260724_exact_ps_cpp_topology_af_all_samples/20260724_C++_exact_PS拓撲與read_AF全七樣本驗證_01.md
MATCH	artifact	topology_receipt	12317	3a71f3ac6dc26c7268e7859beceb228935c37645a01c69d726fc6b6085bee7ae	3a71f3ac6dc26c7268e7859beceb228935c37645a01c69d726fc6b6085bee7ae	/big7_disk/liaoyoyo2001/big7_disk_output/synthesis/observation_workspaces/20260724_exact_ps_cpp_topology_signature_census/all7_v1/receipt.v2.json
MATCH	artifact	topology_summary	21396	3f77559d57b34eebda05d482176738a31ad983e47b7ee26499d69aa2d2984194	3f77559d57b34eebda05d482176738a31ad983e47b7ee26499d69aa2d2984194	/big7_disk/liaoyoyo2001/big7_disk_output/synthesis/observation_workspaces/20260724_exact_ps_cpp_topology_signature_census/all7_v1/summary.json
MATCH	artifact	topology_reader_report	6936	ccfef5c6e00fda98cbb9cab0c842ddcc31e33af9db1fbfd96d155ef60e6b8c46	ccfef5c6e00fda98cbb9cab0c842ddcc31e33af9db1fbfd96d155ef60e6b8c46	/big7_disk/liaoyoyo2001/InterSubMod/research/20260724_exact_ps_cpp_topology_signature_census/20260724_exactPS最佳樹拓撲Signature精確統計_01.md
MATCH	artifact	candidate_factorization_receipt	34471	54a8a0a00c1cdb1a40fe96b3a528e9142d21c76af55dc8eae553a6f1432b8164	54a8a0a00c1cdb1a40fe96b3a528e9142d21c76af55dc8eae553a6f1432b8164	/big7_disk/liaoyoyo2001/big7_disk_output/synthesis/observation_workspaces/20260725_exact_ps_candidate_factorization/all7_v2/receipt.json
MATCH	artifact	read_af_decision_report	17655	2a3a28335540be93e6cb33b210e5b00b2ccde794e22f70c321f2cc1ffedae0ea	2a3a28335540be93e6cb33b210e5b00b2ccde794e22f70c321f2cc1ffedae0ea	/big7_disk/liaoyoyo2001/InterSubMod/research/20260724_likelihood_vaf_edge_identifiability_audit/20260724_HP-specific_read-AF與Likelihood路徑排序決策_02.md
MATCH	artifact	methyl_manifest	2802	7f8efb5eca9aa62534a3c87189c99a28ff99463674ea97418580498744444ce6	7f8efb5eca9aa62534a3c87189c99a28ff99463674ea97418580498744444ce6	/big7_disk/liaoyoyo2001/InterSubMod/research/20260727_multisite_pattern_methyl_topology_validation/manifest.yaml
